source_folder,title,pdf_date,media_id,ticker,n_pos,n_neg,sign
美国科技日报(270),科技日报 0728美股盘前.pdf,2026-07-28,pdf_c4e6e66f56fa0b99703202f9120a53f4_91a3f225e2c6f0fd86c6c85f800d86c97297249738490228,TSLA,3,4,0
美国科技日报(270),科技日报 0728美股盘后.pdf,2026-07-28,pdf_c4e6e66f56fa0b99703202f9120a53f4_5135064010a6fefe11852c68b1bfdbb67297249738490228,NVDA,3,2,0
美国科技日报(270),科技日报 0715美股收盘总结.pdf,2026-07-15,pdf_c4e6e66f56fa0b99703202f9120a53f4_2c3af0d5ebc735d55160da8ce2cf851a7297249738490228,IBM,3,1,0
美国科技日报(270),科技日报 0714 美股盘前.pdf,2026-07-14,pdf_c4e6e66f56fa0b99703202f9120a53f4_fb49b0480b94fe26cf069ffb8e2e35887297249738490228,IBM,0,0,0
美国科技日报(270),科技日报 0710美股收盘总结.pdf,2026-07-10,pdf_c4e6e66f56fa0b99703202f9120a53f4_a857922b8a8d3070aa3055c25bd71b167297249738490228,META,2,1,0
美国科技日报(270),科技日报 0710美股盘前.pdf,2026-07-10,pdf_c4e6e66f56fa0b99703202f9120a53f4_ad7d6f62bd6dd55e3a38b48a1ce651c07297249738490228,META,2,0,1
美国科技日报(270),高盛 - TMT 盘前.pdf,2026-07-10,pdf_c4e6e66f56fa0b99703202f9120a53f4_1ee444e7ab80ee25a39f73badbf59b367297249738490228,GS,0,0,0
美国科技日报(270),科技日报0709美股盘前.pdf,2026-07-09,pdf_c4e6e66f56fa0b99703202f9120a53f4_be51e25c3ccd3dde17c56220dd35adf27297249738490228,META,6,1,0
美国科技日报(270),科技日报 0618美股盘前.pdf,2026-06-18,pdf_c4e6e66f56fa0b99703202f9120a53f4_c3d59f1e54fa51f8012caaac04d8d1e47297249738490228,ANET,4,2,0
美国科技日报(270),科技日报 0618美股盘前.pdf,2026-06-18,pdf_c4e6e66f56fa0b99703202f9120a53f4_c3d59f1e54fa51f8012caaac04d8d1e47297249738490228,MRVL,4,2,0
美国科技日报(270),科技日报 0623美股盘前.pdf,2026-06-23,pdf_c4e6e66f56fa0b99703202f9120a53f4_7931e153bc38a9405460642a709d88eb7297249738490228,CDW,2,0,1
美国科技日报(270),「科技日报0424」美股盘后精华信息.pdf,2026-04-24,pdf_c4e6e66f56fa0b99703202f9120a53f4_c8ad04c4ff41bbe8ba73ff8e8d6e7fc07297249738490228,NOW,4,0,1
美国科技日报(270),「科技日报0424」美股盘后精华信息.pdf,2026-04-24,pdf_c4e6e66f56fa0b99703202f9120a53f4_c8ad04c4ff41bbe8ba73ff8e8d6e7fc07297249738490228,TXN,4,0,1
美国科技日报(270),2509科技日报2 英.PDF,2026-07-07,pdf_c4e6e66f56fa0b99703202f9120a53f4_dc221c13f13f19206c4de275fdd7b9527297249738490228,ALAB,1,1,0
美国科技日报(270),2509科技日报2 英.PDF,2026-07-07,pdf_c4e6e66f56fa0b99703202f9120a53f4_dc221c13f13f19206c4de275fdd7b9527297249738490228,IBM,1,1,0
美国科技日报(270),交易台GS科技日报新易盛臻鼎CRWV.pdf,2026-07-07,pdf_c4e6e66f56fa0b99703202f9120a53f4_a93a0030fa54a6b28cfb037f5eaa70f37297249738490228,CRWV,4,1,0
美国科技日报(270),交易台GS科技日报新易盛臻鼎CRWV.pdf,2026-07-07,pdf_c4e6e66f56fa0b99703202f9120a53f4_a93a0030fa54a6b28cfb037f5eaa70f37297249738490228,GS,4,1,0
美国科技日报(270),交易台GS科技日报新易盛臻鼎CRWV.pdf,2026-07-07,pdf_c4e6e66f56fa0b99703202f9120a53f4_a93a0030fa54a6b28cfb037f5eaa70f37297249738490228,LITE,4,1,0
美国科技日报(270),科技日报 1028 美股盘前.pdf,2025-10-28,pdf_c4e6e66f56fa0b99703202f9120a53f4_5646bd6fa4853a7e87f5421d6a894ee97297249738490228,CDNS,6,1,0
美国科技日报(270),科技日报 1106 美股盘前.pdf,2025-11-06,pdf_c4e6e66f56fa0b99703202f9120a53f4_deb49d95fad37b3962ba1d107aa9dabe7297249738490228,APP,3,4,0
美国科技日报(270),科技日报 1106 美股盘前.pdf,2025-11-06,pdf_c4e6e66f56fa0b99703202f9120a53f4_deb49d95fad37b3962ba1d107aa9dabe7297249738490228,ARM,3,4,0
美国科技日报(270),科技日报 1106 美股盘前.pdf,2025-11-06,pdf_c4e6e66f56fa0b99703202f9120a53f4_deb49d95fad37b3962ba1d107aa9dabe7297249738490228,DASH,3,4,0
美国科技日报(270),科技日报 1112 美股盘前.pdf,2025-11-12,pdf_c4e6e66f56fa0b99703202f9120a53f4_349c2655d6de3f2f08aec21a2c6828ec7297249738490228,AMD,3,0,1
美国科技日报(270),科技日报 1120 美股盘前.pdf,2025-11-20,pdf_c4e6e66f56fa0b99703202f9120a53f4_072a28d34290b52966ff33a0342700c37297249738490228,ALAB,4,2,0
美国科技日报(270),科技日报 1120 美股盘前.pdf,2025-11-20,pdf_c4e6e66f56fa0b99703202f9120a53f4_072a28d34290b52966ff33a0342700c37297249738490228,AMD,4,2,0
美国科技日报(270),科技日报 1120 美股盘前.pdf,2025-11-20,pdf_c4e6e66f56fa0b99703202f9120a53f4_072a28d34290b52966ff33a0342700c37297249738490228,CRWV,4,2,0
美国科技日报(270),科技日报 1120 美股盘前.pdf,2025-11-20,pdf_c4e6e66f56fa0b99703202f9120a53f4_072a28d34290b52966ff33a0342700c37297249738490228,GOOGL,4,2,0
美国科技日报(270),科技日报 1120 美股盘前.pdf,2025-11-20,pdf_c4e6e66f56fa0b99703202f9120a53f4_072a28d34290b52966ff33a0342700c37297249738490228,NBIS,4,2,0
美国科技日报(270),科技日报 1120 美股盘前.pdf,2025-11-20,pdf_c4e6e66f56fa0b99703202f9120a53f4_072a28d34290b52966ff33a0342700c37297249738490228,NVDA,4,2,0
美国科技日报(270),科技日报 1119 美股盘前.pdf,2025-11-19,pdf_c4e6e66f56fa0b99703202f9120a53f4_2500b677d388c65c3ea0be30634de86c7297249738490228,MU,1,0,1
美国科技日报(270),科技日报 1119 美股盘前.pdf,2025-11-19,pdf_c4e6e66f56fa0b99703202f9120a53f4_2500b677d388c65c3ea0be30634de86c7297249738490228,NVDA,1,0,1
美国科技日报(270),科技日报 1203美股盘后.pdf,2025-12-03,pdf_c4e6e66f56fa0b99703202f9120a53f4_8071fcca17fff320059a10884c31077d7297249738490228,INTC,0,0,0
美国科技日报(270),科技日报1204 美股盘前.pdf,2025-12-04,pdf_c4e6e66f56fa0b99703202f9120a53f4_71bbce981dd238395e4f564d8fa06bca7297249738490228,CRM,1,0,1
美国科技日报(270),科技日报1204 美股盘前.pdf,2025-12-04,pdf_c4e6e66f56fa0b99703202f9120a53f4_71bbce981dd238395e4f564d8fa06bca7297249738490228,GOOGL,1,0,1
